State,District,Market,Commodity,Variety,Grade,Modal Price,Year,Month,Week,Day,Price_Range,Mid_Price,Volatility
4,185,690,152,307,0,2000.0,2023,7,30,28,200.0,2000.0,0.09995002498750624
4,185,852,152,307,0,2000.0,2023,7,30,28,200.0,2000.0,0.09995002498750624
4,185,1045,128,307,0,2500.0,2023,7,30,28,0.0,2500.0,0.0
4,185,1045,152,311,0,1500.0,2023,7,30,28,0.0,1500.0,0.0
4,215,114,127,307,0,3100.0,2023,7,30,28,0.0,3100.0,0.0
4,215,114,129,307,0,1965.0,2023,7,30,28,0.0,1965.0,0.0
4,215,114,217,307,0,2130.0,2023,7,30,28,0.0,2130.0,0.0
4,261,711,152,313,0,1820.0,2023,7,30,28,50.0,1825.0,0.027382256297918947
4,261,1069,152,106,0,1770.0,2023,7,30,28,175.0,1787.5,0.09784735812133072
4,308,988,147,307,0,1800.0,2023,7,30,28,700.0,1850.0,0.37817396002160997
4,308,988,167,307,0,1600.0,2023,7,30,28,700.0,1650.0,0.4239854633555421
4,308,988,212,307,0,9500.0,2023,7,30,28,500.0,9750.0,0.05127679212388473
4,309,1,152,210,0,2100.0,2023,7,30,28,0.0,2100.0,0.0
4,314,995,7,30,2,16000.0,2023,7,30,28,4000.0,16000.0,0.24998437597650147
4,314,995,13,43,2,4500.0,2023,7,30,28,3000.0,4500.0,0.6665185514330149
4,314,995,21,56,0,2500.0,2023,7,30,28,1000.0,2500.0,0.39984006397441024
4,314,995,22,62,0,2600.0,2023,7,30,28,400.0,2600.0,0.15378700499807765
4,314,995,27,73,0,2200.0,2023,7,30,28,600.0,2200.0,0.2726033621081327
4,314,995,31,80,0,1400.0,2023,7,30,28,400.0,1400.0,0.28551034975017847
4,314,995,33,82,0,5000.0,2023,7,30,28,1000.0,5000.0,0.19996000799840033
4,314,995,120,248,0,2500.0,2023,7,30,28,1000.0,2500.0,0.39984006397441024
4,314,995,130,38,2,6000.0,2023,7,30,28,2000.0,6000.0,0.3332777870354941
4,314,995,147,303,0,1800.0,2023,7,30,28,400.0,1800.0,0.2220988339811216
4,314,995,167,330,0,1600.0,2023,7,30,28,400.0,1600.0,0.24984384759525297
4,314,995,169,336,0,1400.0,2023,7,30,28,400.0,1400.0,0.28551034975017847
4,363,962,129,252,0,2000.0,2023,7,30,28,0.0,2000.0,0.0
4,363,1148,129,152,0,1965.0,2023,7,30,28,0.0,1965.0,0.0
6,12,45,9,202,0,8250.0,2023,7,30,28,4255.0,6127.5,0.6942971363302602
6,12,45,19,307,0,4900.0,2023,7,30,28,1720.0,4115.0,0.41788143828960156
6,12,45,37,85,0,6000.0,2023,7,30,28,260.0,5980.0,0.04347099147299783
6,12,45,58,111,0,6690.0,2023,7,30,28,3810.0,6155.0,0.6189083820662769
6,12,45,59,307,0,6895.0,2023,7,30,28,2800.0,5900.0,0.4744958481613286
6,12,45,90,202,0,7500.0,2023,7,30,28,400.0,7300.0,0.05478701547733187
6,12,45,93,182,0,11150.0,2023,7,30,28,1825.0,11062.5,0.16495684005965564
6,12,45,94,58,0,8510.0,2023,7,30,28,3265.0,7382.5,0.44220220762511003
6,12,45,94,69,0,8170.0,2023,7,30,28,2150.0,7575.0,0.2837909186906019
6,12,45,95,185,0,9850.0,2023,7,30,28,2775.0,8762.5,0.3166543047869002
6,12,45,109,219,0,4375.0,2023,7,30,28,435.0,4417.5,0.09844970012447664
6,12,45,186,63,0,16250.0,2023,7,30,28,4015.0,15317.5,0.26210138068348726
6,12,45,186,346,0,17380.0,2023,7,30,28,155.0,17327.5,0.008944801915918862
6,12,45,186,432,0,17000.0,2023,7,30,28,9500.0,13250.0,0.7169270243755188
6,12,45,191,392,0,4700.0,2023,7,30,28,1250.0,4125.0,0.3029568589432865
6,12,45,217,257,0,2555.0,2023,7,30,28,90.0,2535.0,0.03548895899053628
6,12,45,217,340,0,2480.0,2023,7,30,28,485.0,2547.5,0.1903080243280361
6,12,94,59,307,0,7175.0,2023,7,30,28,300.0,7175.0,0.04180602006688963
